"month";"total_sales";"order_count"
"2021-08";113.000000;1
"2021-09";4583.000000;22
"2021-10";11784.000000;31
"2021-11";10647.800000;39
"2021-12";8774.500000;52
"2022-01";6505.000000;21
"2022-02";2085.000000;11
"2022-03";4883.000000;17
"2022-04";1561.000000;9
"2022-05";3063.000000;12
"2022-06";2516.000000;14
"2022-07";5156.000000;19
"2022-08";2289.000000;7
"2022-09";3237.000000;13
"2022-10";4899.000000;32
"2022-11";4431.800000;27
"2022-12";6451.900000;33
"2023-01";1745.000000;9
"2023-02";3689.000000;19
"2023-03";2061.000000;15
"2023-04";1476.400000;12
"2023-05";2522.000000;19
"2023-06";1281.000000;11
"2023-07";2207.000000;9
"2023-08";2861.000000;13
"2023-09";1290.000000;5
"2023-10";2082.000000;13
"2023-11";2206.000000;14
"2023-12";7570.800000;41
"2024-01";2298.000000;14
"2024-02";766.000000;9
"2024-03";2120.000000;16
"2024-04";3393.000000;23
"2024-05";8810.000000;46
"2024-06";2812.500000;14
"2024-07";2881.000000;17
"2024-08";2755.600000;15
"2024-09";1694.000000;11
"2024-10";1296.000000;10
"2024-11";1240.000000;12
"2024-12";2800.000000;26
"2025-01";1281.000000;10
"2025-02";2614.000000;19
"2025-03";635.000000;8
"2025-04";549.000000;4
"2025-05";4325.000000;37
"2025-06";3823.000000;24
"2025-07";684.000000;7
